epoch,lr,train_loss,train_forecast,train_spike,val_loss,val_mae,val_rmse,val_smape,val_f1,val_precision,val_recall,val_auc,val_auprc,swa_active
1,1e-05,0.670709753036499,0.37512444257736205,0.5911706268787384,0.9493200282255808,0.9513095021247864,3.1830270290374756,171.20989990234375,0.04260251609859479,0.022609194588855297,0.5054184704184704,0.5630776943567903,0.04991839423238384,False
2,1.9e-05,0.6692067503929138,0.37450614869594573,0.5894012212753296,0.9437418580055237,0.946062445640564,3.175774097442627,171.18368530273438,0.039702742383941905,0.021023274793907552,0.47966570466570463,0.56428450816231,0.04931194238201788,False
3,2.8000000000000003e-05,0.6644368290901184,0.3710478276014328,0.5867779672145843,0.9356361428896586,0.9382467865943909,3.164940357208252,171.12744140625,0.03997157946330755,0.02140959024449962,0.4324699374699375,0.5641259251806019,0.049569687708249,False
4,3.7000000000000005e-05,0.6573906362056732,0.3651320517063141,0.5845171511173248,0.9254562060038248,0.9282729029655457,3.151339292526245,171.08541870117188,0.03760131835429441,0.0205247773541723,0.36783790283790285,0.5659347185956697,0.04967391860668281,False
5,4.600000000000001e-05,0.6508055806159974,0.3606374680995941,0.5803362488746643,0.9134449263413748,0.9161631464958191,3.1350326538085938,171.03524780273438,0.03356341990019976,0.01833789384311691,0.31417147667147666,0.5663153674842144,0.05146992732361443,False
6,5.500000000000001e-05,0.6429123163223267,0.35410345792770387,0.5776177167892456,0.8998909294605255,0.902107298374176,3.1159629821777344,170.9801483154297,0.0347640035173473,0.01977959903295965,0.2640157527657528,0.5662276248204434,0.05253380610568596,False
7,6.400000000000001e-05,0.6357816398143769,0.3487569153308868,0.57404944896698,0.8848291039466858,0.8860884308815002,3.0937013626098633,170.9313201904297,0.03673821151818909,0.025382110021250674,0.19171296296296297,0.5650145156509999,0.05474442580294383,False
8,7.300000000000001e-05,0.6270736038684845,0.34163944125175477,0.5708683609962464,0.8688154319922129,0.8686389327049255,3.0698318481445312,170.81642150878906,0.016104605832993658,0.009077107251295539,0.1189351851851852,0.5638295511198842,0.05586617607930378,False
9,8.200000000000001e-05,0.6151552736759186,0.33174669444561006,0.5668171525001526,0.8519841531912485,0.8498510718345642,3.0440590381622314,170.6949005126953,0.01285906939214739,0.008308111424577897,0.08541666666666667,0.5630981243179569,0.05613966649962498,False
10,9.100000000000003e-05,0.6029690265655517,0.3215811222791672,0.5627758085727692,0.8342799842357635,0.829793393611908,3.0165765285491943,170.52183532714844,0.017168955320614087,0.010980829621667984,0.06333333333333332,0.5612408357695958,0.05620932533048677,False
11,0.00010000000000000005,0.5934674263000488,0.31455532610416415,0.5578241944313049,0.8161625961462656,0.8089935779571533,2.989262819290161,170.39901733398438,0.004347826086956522,0.0024390243902439024,0.02,0.5611389990442565,0.054974288221286124,False
