epoch,lr,train_loss,train_forecast,train_spike,val_loss,val_mae,val_rmse,val_smape,val_f1,val_precision,val_recall,val_auc,val_auprc,swa_active
1,1e-05,0.5470649003982544,0.2512858048081398,0.591558188199997,0.702628493309021,0.6121076941490173,2.765573024749756,170.1607666015625,0.04705111526363907,0.028782374323610367,0.4982548007548007,0.5028351461583441,0.05611571527089666,False
2,1.9e-05,0.5433986365795136,0.24822881519794465,0.5903396487236023,0.6997477312882742,0.6039342284202576,2.764341354370117,169.615478515625,0.04929325941553124,0.03126760224550587,0.47920718170718174,0.50166006763654,0.053002431822751016,False
3,2.8000000000000003e-05,0.5395630598068237,0.2452561542391777,0.5886138319969177,0.6962223847707113,0.5943335294723511,2.762815237045288,168.91932678222656,0.045942354090802905,0.031244370282155355,0.4539823139823139,0.5015320332288395,0.052561221585977494,False
4,3.7000000000000005e-05,0.5373603880405426,0.24432121217250824,0.5860783517360687,0.6923541128635406,0.5850558876991272,2.761140823364258,167.92686462402344,0.05070945127607866,0.042150789731205895,0.4203315203315203,0.5037301794609012,0.049561088034890406,False
5,4.600000000000001e-05,0.5353146135807038,0.24339466392993928,0.5838399052619934,0.6882400612036387,0.5773293375968933,2.7594377994537354,166.3751983642578,0.034153116956805445,0.028531152842564647,0.34127067377067377,0.5072940049220852,0.047979412687093076,False
6,5.500000000000001e-05,0.5287393927574158,0.2385859653353691,0.5803068459033967,0.6837541460990906,0.5714830756187439,2.7577526569366455,165.48458862304688,0.02976406269719495,0.017855830937230248,0.279488196988197,0.5067715196634801,0.046180287926888976,False
7,6.400000000000001e-05,0.5271516561508178,0.23913842737674712,0.576026451587677,0.6787150899569193,0.5666080713272095,2.756070375442505,164.36953735351562,0.024916775702667808,0.016030953703823674,0.21439560439560437,0.5069655690717139,0.04551128435966107,False
8,7.300000000000001e-05,0.5235049664974213,0.23860353380441665,0.5698028564453125,0.6730859478314718,0.5620445609092712,2.7545583248138428,163.08111572265625,0.013316616183835341,0.007365547666866519,0.1511965811965812,0.508826446017014,0.044963850764493184,False
9,8.200000000000001e-05,0.5166732251644135,0.23473861962556838,0.5638692200183868,0.667514314254125,0.5573791265487671,2.7531023025512695,162.00225830078125,0.013941223021436154,0.008531804108136243,0.13384615384615384,0.5095092198596178,0.0441014410443419,False
10,9.100000000000003e-05,0.5150000631809235,0.2359996810555458,0.5580007433891296,0.6626762747764587,0.5530441403388977,2.7517707347869873,161.04855346679688,0.016306247982985144,0.013395625350234908,0.11179487179487178,0.5129997328886068,0.04338556738768494,False
11,0.00010000000000000005,0.5117037713527679,0.23451021313667297,0.5543870985507965,0.6589949528376261,0.5494599342346191,2.7505738735198975,162.06373596191406,0.01171931425095982,0.015561374308177379,0.07179487179487179,0.5162987476338833,0.043416143011080446,False
12,0.00010000000000000005,0.5092190206050873,0.2346721664071083,0.5490937054157257,0.6565854847431183,0.5471804141998291,2.749687910079956,161.76303100585938,0.005413963546493667,0.00291531340447626,0.05,0.5167600361333637,0.04318509759092833,False
13,0.00010000000000000005,0.5065299034118652,0.2334625691175461,0.5461346626281738,0.6553469399611155,0.5454646944999695,2.749051570892334,161.62887573242188,0.002242609582059123,0.001160337552742616,0.03333333333333333,0.5213352799855197,0.0436195146720291,False
14,0.00010000000000000005,0.5046454995870591,0.23353012204170226,0.5422307670116424,0.6543591320514679,0.5442442297935486,2.748579502105713,162.4757537841797,0.0020134228187919465,0.0010452961672473868,0.027272727272727275,0.5227041996915072,0.04594666896133501,False
15,0.00010000000000000005,0.5039523035287857,0.2330959528684616,0.5417127192020417,0.6535555919011434,0.5431227087974548,2.748241424560547,162.20098876953125,0.002247191011235955,0.001282051282051282,0.00909090909090909,0.5199364855295818,0.048193188067978496,False
