epoch,lr,train_loss,train_forecast,train_spike,val_loss,val_mae,val_rmse,val_smape,val_f1,val_precision,val_recall,val_auc,val_auprc,swa_active
1,1e-05,0.5259600818157196,0.23273714482784272,0.5864458620548249,0.6711733539899191,0.5476163029670715,2.743476390838623,170.46597290039062,0.021461419950046152,0.01100930868158549,0.4666666666666667,0.48717039686969255,0.03618132260375898,False
2,1.9e-05,0.5262710690498352,0.23296775221824645,0.5866066336631774,0.6710676550865173,0.5472479462623596,2.7434630393981934,170.38211059570312,0.021539949047270062,0.011050489807935106,0.4666666666666667,0.4869184772070058,0.0362627837003944,False
3,2.8000000000000003e-05,0.5268863320350647,0.23384115248918533,0.586090362071991,0.6709131002426147,0.546713650226593,2.7434439659118652,170.24856567382812,0.02127971617909131,0.010920471554712088,0.4562962962962963,0.4860626285280932,0.03620238282503063,False
4,3.7000000000000005e-05,0.5241196632385254,0.231205016374588,0.5858293056488038,0.670710563659668,0.5460307002067566,2.7434191703796387,170.089111328125,0.020544792134592697,0.01055113405233315,0.4325925925925926,0.4856104248209275,0.036329446710257444,False
5,4.600000000000001e-05,0.5251768708229065,0.23225191086530686,0.5858499109745026,0.67046257853508,0.5452030301094055,2.743389844894409,169.88800048828125,0.020635704294503825,0.010615910536880055,0.4222222222222222,0.4861098217602188,0.036680165087108654,False
6,5.500000000000001e-05,0.5260583281517028,0.2333722949028015,0.5853720605373383,0.6701661348342896,0.5442336797714233,2.743356943130493,169.6418914794922,0.021220467915133708,0.010996431281758713,0.41111111111111115,0.4847101158058362,0.037057116148476885,False
7,6.400000000000001e-05,0.5263076007366181,0.23378203809261322,0.5850511193275452,0.6698189179102579,0.5431231260299683,2.7433218955993652,169.356689453125,0.02352595146464015,0.012755445623058812,0.3833333333333334,0.4820435326743118,0.036932888140431115,False
8,7.300000000000001e-05,0.5235371291637421,0.23133982419967652,0.5843945920467377,0.6694131990273794,0.5418779253959656,2.743283748626709,169.05307006835938,0.016666354030452114,0.00857228203185001,0.33838383838383834,0.480065818391055,0.03756206531985337,False
9,8.200000000000001e-05,0.5247196197509766,0.2327534258365631,0.5839324057102203,0.6689313451449076,0.5404406189918518,2.743243932723999,168.620849609375,0.01491358875308401,0.007738279632808257,0.26929292929292925,0.4819251538622455,0.038513946050220314,False
10,9.100000000000003e-05,0.5240772366523743,0.23260240256786346,0.5829496800899505,0.6683531105518341,0.538800835609436,2.7432024478912354,168.03765869140625,0.013962333594003291,0.0074704592971916155,0.2424242424242424,0.4851378349167691,0.04035774989752449,False
11,0.00010000000000000005,0.5210636258125305,0.23014668971300126,0.5818338811397552,0.6676393449306488,0.5368784070014954,2.743159532546997,167.30604553222656,0.012773535190762516,0.007001659754605711,0.23080808080808082,0.4861971547782751,0.040839919113890844,False
12,0.00010000000000000005,0.5219178438186646,0.23126176744699478,0.5813121497631073,0.6667958299318949,0.5347890853881836,2.7431209087371826,166.39015197753906,0.009611367156574882,0.004937943509306032,0.2,0.49046246105229946,0.04046559829139277,False
13,0.00010000000000000005,0.5214130938053131,0.23160713464021682,0.5796119153499604,0.6657525996367136,0.5325083136558533,2.7430970668792725,165.2519989013672,0.009852607282723358,0.005076330335045028,0.1716666666666667,0.4935753847674727,0.038728781251884614,False
14,0.00010000000000000005,0.5202981233596802,0.23146431148052216,0.577667623758316,0.6644020676612854,0.5302215814590454,2.7430999279022217,163.73162841796875,0.004291003567725005,0.0022186783056348273,0.06666666666666667,0.4981317663776371,0.03956103189801224,False
15,0.00010000000000000005,0.5178393065929413,0.23019568324089051,0.5752872407436371,0.662574460109075,0.5283944010734558,2.7431833744049072,161.40631103515625,0.001834862385321101,0.0009433962264150943,0.03333333333333333,0.5094254272032238,0.0439856307168899,False
16,0.00010000000000000005,0.5153922975063324,0.22979411035776137,0.5711963772773743,0.6599944730599722,0.5290184617042542,2.7434678077697754,159.72528076171875,0.0024509803921568627,0.0013123359580052493,0.01851851851851852,0.509300658931054,0.05322008518597465,False
17,0.00010000000000000005,0.5134119987487793,0.2311217039823532,0.5645806014537811,0.6563911934693655,0.5347020626068115,2.7441961765289307,158.51181030273438,0.0,0.0,0.0,0.5023141828212544,0.06549630987674658,False
18,0.00010000000000000005,0.5079844832420349,0.22992509603500366,0.5561187982559204,0.6522552669048309,0.5364007949829102,2.7446129322052,155.92132568359375,0.0,0.0,0.0,0.5103323776214618,0.06954173528839451,False
19,0.00010000000000000005,0.505121248960495,0.23042955994606018,0.5493833720684052,0.6484245657920837,0.5287600755691528,2.744028091430664,152.12142944335938,0.0,0.0,0.0,0.5115613861908055,0.07165247343110329,False
20,0.00010000000000000005,0.500261452794075,0.228874109685421,0.5427746832370758,0.644678384065628,0.5267395377159119,2.743867874145508,151.83123779296875,0.0,0.0,0.0,0.5143660277230224,0.07198942417732726,False
21,0.00010000000000000005,0.49985029399394987,0.23052058666944503,0.538659417629242,0.642128586769104,0.522365152835846,2.7433717250823975,152.07925415039062,0.0,0.0,0.0,0.5181872026911386,0.0839815646428029,False
22,0.00010000000000000005,0.4985723465681076,0.2308589354157448,0.5354268193244934,0.640843411286672,0.5203678011894226,2.7429563999176025,153.19923400878906,0.0,0.0,0.0,0.5237582300929076,0.09928021314176293,False
23,0.00010000000000000005,0.4942403078079224,0.22803977876901627,0.5324010491371155,0.6400391161441803,0.5199170708656311,2.742806911468506,153.27613830566406,0.0,0.0,0.0,0.5282202916205508,0.10086760858137338,False
24,0.00010000000000000005,0.49243453443050383,0.22767926454544068,0.5295105397701263,0.6396850943565369,0.5200124382972717,2.742755174636841,152.9260711669922,0.0,0.0,0.0,0.5300728475838608,0.10254531441575775,False
25,0.00010000000000000005,0.4914378672838211,0.22747067362070084,0.5279343903064728,0.6396496891975403,0.5199082493782043,2.7424769401550293,153.84548950195312,0.0,0.0,0.0,0.5307857832393343,0.10671779213608514,False
26,0.00010000000000000005,0.4902990847826004,0.2262427791953087,0.5281126141548157,0.6397077242533366,0.5204411149024963,2.7423226833343506,154.7931365966797,0.0,0.0,0.0,0.5329578782296713,0.10741772310241048,False
27,0.00010000000000000005,0.49289452433586123,0.2283627912402153,0.529063481092453,0.6398685574531555,0.5208339095115662,2.7422070503234863,155.0092010498047,0.0,0.0,0.0,0.533695614813918,0.08938684859802781,False
28,0.00010000000000000005,0.4914743095636368,0.22734717428684234,0.5282542645931244,0.6398696700731913,0.5208642482757568,2.742063522338867,154.6395721435547,0.0,0.0,0.0,0.5336925735844897,0.058995679359462934,False
29,0.00010000000000000005,0.49064905643463136,0.22714997231960296,0.5269981622695923,0.6398193637530009,0.5207617282867432,2.741990089416504,154.09422302246094,0.0,0.0,0.0,0.532182675178693,0.04987535354645151,False
30,0.00010000000000000005,0.4868873953819275,0.22495146095752716,0.5238718807697296,0.6400019923845927,0.5209844708442688,2.7419257164001465,153.9246368408203,0.0,0.0,0.0,0.532320279644448,0.04613461184313029,False
