column,prevalence_pct,threshold_mult
spike_bawang_dki_cons,3.4520547945205484,2.0
spike_bawang_jabar_cons,4.219178082191781,2.0
spike_bawang_jabar_prod,2.0273972602739727,0.8999999999999992
spike_bawang_jateng_cons,3.287671232876712,2.0
spike_bawang_jateng_prod,2.0273972602739727,0.8999999999999992
spike_bawang_jatim_cons,3.397260273972603,2.0
spike_bawang_sulsel_cons,2.356164383561644,2.0
spike_bawang_sulsel_prod,1.4794520547945205,0.2
spike_bawang_sumut_cons,2.0273972602739727,1.9
spike_bawang_sumut_prod,2.0821917808219177,0.39999999999999936
spike_beras_dki_cons,2.0273972602739727,1.4999999999999996
spike_beras_jabar_cons,2.0273972602739727,1.7999999999999998
spike_beras_jabar_prod,2.136986301369863,1.0999999999999992
spike_beras_jateng_cons,2.191780821917808,1.7999999999999998
spike_beras_jateng_prod,2.0273972602739727,0.2999999999999994
spike_beras_jatim_cons,2.136986301369863,1.6999999999999997
spike_beras_sulsel_cons,2.3013698630136985,2.0
spike_beras_sulsel_prod,1.1506849315068493,0.2
spike_beras_sumut_cons,2.136986301369863,1.5999999999999996
spike_beras_sumut_prod,1.9178082191780823,0.2
spike_cabai_dki_cons,2.8493150684931505,2.0
spike_cabai_jabar_cons,4.219178082191781,2.0
spike_cabai_jabar_prod,2.0821917808219177,1.5999999999999996
spike_cabai_jateng_cons,3.3424657534246576,2.0
spike_cabai_jateng_prod,2.0273972602739727,0.39999999999999936
spike_cabai_jatim_cons,2.246575342465753,2.0
spike_cabai_sulsel_cons,2.0273972602739727,2.0
spike_cabai_sulsel_prod,2.191780821917808,2.0
spike_cabai_sumut_cons,2.191780821917808,1.9
spike_cabai_sumut_prod,2.0821917808219177,0.49999999999999933
