date,beras_dki_cons,beras_jabar_cons,beras_jateng_cons,beras_jatim_cons,beras_sulsel_cons,beras_sumut_cons,bawang_dki_cons,bawang_jabar_cons,bawang_jateng_cons,bawang_jatim_cons,bawang_sulsel_cons,bawang_sumut_cons,cabai_dki_cons,cabai_jabar_cons,cabai_jateng_cons,cabai_jatim_cons,cabai_sulsel_cons,cabai_sumut_cons,beras_jabar_prod,beras_jateng_prod,beras_jatim_prod,beras_sulsel_prod,beras_sumut_prod,bawang_jabar_prod,bawang_jateng_prod,bawang_jatim_prod,bawang_sulsel_prod,bawang_sumut_prod,cabai_jabar_prod,cabai_jateng_prod,cabai_jatim_prod,cabai_sulsel_prod,cabai_sumut_prod,outlier_flag_beras_dki_cons,outlier_flag_beras_jabar_cons,outlier_flag_beras_jateng_cons,outlier_flag_beras_jatim_cons,outlier_flag_beras_sulsel_cons,outlier_flag_beras_sumut_cons,outlier_flag_bawang_dki_cons,outlier_flag_bawang_jabar_cons,outlier_flag_bawang_jateng_cons,outlier_flag_bawang_jatim_cons,outlier_flag_bawang_sulsel_cons,outlier_flag_bawang_sumut_cons,outlier_flag_cabai_dki_cons,outlier_flag_cabai_jabar_cons,outlier_flag_cabai_jateng_cons,outlier_flag_cabai_jatim_cons,outlier_flag_cabai_sulsel_cons,outlier_flag_cabai_sumut_cons,outlier_flag_beras_jabar_prod,outlier_flag_beras_jateng_prod,outlier_flag_beras_jatim_prod,outlier_flag_beras_sulsel_prod,outlier_flag_beras_sumut_prod,outlier_flag_bawang_jabar_prod,outlier_flag_bawang_jateng_prod,outlier_flag_bawang_jatim_prod,outlier_flag_bawang_sulsel_prod,outlier_flag_bawang_sumut_prod,outlier_flag_cabai_jabar_prod,outlier_flag_cabai_jateng_prod,outlier_flag_cabai_jatim_prod,outlier_flag_cabai_sulsel_prod,outlier_flag_cabai_sumut_prod,zscore_beras_dki_cons,spike_raw_beras_dki_cons,zscore_beras_jabar_cons,spike_raw_beras_jabar_cons,zscore_beras_jateng_cons,spike_raw_beras_jateng_cons,zscore_beras_jatim_cons,spike_raw_beras_jatim_cons,zscore_beras_sulsel_cons,spike_raw_beras_sulsel_cons,zscore_beras_sumut_cons,spike_raw_beras_sumut_cons,zscore_bawang_dki_cons,spike_raw_bawang_dki_cons,zscore_bawang_jabar_cons,spike_raw_bawang_jabar_cons,zscore_bawang_jateng_cons,spike_raw_bawang_jateng_cons,zscore_bawang_jatim_cons,spike_raw_bawang_jatim_cons,zscore_bawang_sulsel_cons,spike_raw_bawang_sulsel_cons,zscore_bawang_sumut_cons,spike_raw_bawang_sumut_cons,zscore_cabai_dki_cons,spike_raw_cabai_dki_cons,zscore_cabai_jabar_cons,spike_raw_cabai_jabar_cons,zscore_cabai_jateng_cons,spike_raw_cabai_jateng_cons,zscore_cabai_jatim_cons,spike_raw_cabai_jatim_cons,zscore_cabai_sulsel_cons,spike_raw_cabai_sulsel_cons,zscore_cabai_sumut_cons,spike_raw_cabai_sumut_cons,zscore_beras_jabar_prod,spike_raw_beras_jabar_prod,zscore_beras_jateng_prod,spike_raw_beras_jateng_prod,zscore_beras_jatim_prod,spike_raw_beras_jatim_prod,zscore_beras_sulsel_prod,spike_raw_beras_sulsel_prod,zscore_beras_sumut_prod,spike_raw_beras_sumut_prod,zscore_bawang_jabar_prod,spike_raw_bawang_jabar_prod,zscore_bawang_jateng_prod,spike_raw_bawang_jateng_prod,zscore_bawang_jatim_prod,spike_raw_bawang_jatim_prod,zscore_bawang_sulsel_prod,spike_raw_bawang_sulsel_prod,zscore_bawang_sumut_prod,spike_raw_bawang_sumut_prod,zscore_cabai_jabar_prod,spike_raw_cabai_jabar_prod,zscore_cabai_jateng_prod,spike_raw_cabai_jateng_prod,zscore_cabai_jatim_prod,spike_raw_cabai_jatim_prod,zscore_cabai_sulsel_prod,spike_raw_cabai_sulsel_prod,zscore_cabai_sumut_prod,spike_raw_cabai_sumut_prod,flag_beras_dki_cons_gap_long,flag_beras_jabar_cons_gap_long,flag_beras_jateng_cons_gap_long,flag_beras_jatim_cons_gap_long,flag_beras_sulsel_cons_gap_long,flag_beras_sumut_cons_gap_long,flag_bawang_dki_cons_gap_long,flag_bawang_jabar_cons_gap_long,flag_bawang_jateng_cons_gap_long,flag_bawang_jatim_cons_gap_long,flag_bawang_sulsel_cons_gap_long,flag_bawang_sumut_cons_gap_long,flag_cabai_dki_cons_gap_long,flag_cabai_jabar_cons_gap_long,flag_cabai_jateng_cons_gap_long,flag_cabai_jatim_cons_gap_long,flag_cabai_sulsel_cons_gap_long,flag_cabai_sumut_cons_gap_long,flag_beras_jabar_prod_gap_long,flag_beras_jateng_prod_gap_long,flag_beras_jatim_prod_gap_long,flag_beras_sulsel_prod_gap_long,flag_beras_sumut_prod_gap_long,flag_bawang_jabar_prod_gap_long,flag_bawang_jateng_prod_gap_long,flag_bawang_jatim_prod_gap_long,flag_bawang_sulsel_prod_gap_long,flag_bawang_sumut_prod_gap_long,flag_cabai_jabar_prod_gap_long,flag_cabai_jateng_prod_gap_long,flag_cabai_jatim_prod_gap_long,flag_cabai_sulsel_prod_gap_long,flag_cabai_sumut_prod_gap_long,spread_beras_jabar,spread_pct_beras_jabar,spread_vol_beras_jabar,spread_beras_jateng,spread_pct_beras_jateng,spread_vol_beras_jateng,spread_beras_sulsel,spread_pct_beras_sulsel,spread_vol_beras_sulsel,spread_beras_sumut,spread_pct_beras_sumut,spread_vol_beras_sumut,spread_bawang_jabar,spread_pct_bawang_jabar,spread_vol_bawang_jabar,spread_bawang_jateng,spread_pct_bawang_jateng,spread_vol_bawang_jateng,spread_bawang_sulsel,spread_pct_bawang_sulsel,spread_vol_bawang_sulsel,spread_bawang_sumut,spread_pct_bawang_sumut,spread_vol_bawang_sumut,spread_cabai_jabar,spread_pct_cabai_jabar,spread_vol_cabai_jabar,spread_cabai_jateng,spread_pct_cabai_jateng,spread_vol_cabai_jateng,spread_cabai_sulsel,spread_pct_cabai_sulsel,spread_vol_cabai_sulsel,spread_cabai_sumut,spread_pct_cabai_sumut,spread_vol_cabai_sumut
2021-01-01,13950.0,11400.0,11250.0,10450.0,10250.0,11150.0,35000.0,27950.0,26850.0,27850.0,29000.0,32900.0,69150.0,57200.0,54250.0,48550.0,39400.0,50700.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1800.0,18.75,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10800.0,62.973760932944614,194.21414933641992,7250.0,36.98979591836735,208.0479526870762,6000.0,26.08695652173913,539.0320542932077,8400.0,34.285714285714285,346.0714262963144,26800.0,88.1578947368421,2173.0930337501272,17150.0,46.22641509433962,2917.4676148932003,15900.0,67.65957446808511,1309.6460741384192,13900.0,37.77173913043478,3896.2454228477095
2021-01-02,13950.0,11400.0,11250.0,10450.0,10250.0,11150.0,35000.0,27950.0,26850.0,27850.0,29000.0,32900.0,69150.0,57200.0,54250.0,48550.0,39400.0,50700.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1800.0,18.75,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10800.0,62.973760932944614,194.21414933641992,7250.0,36.98979591836735,208.0479526870762,6000.0,26.08695652173913,539.0320542932077,8400.0,34.285714285714285,346.0714262963144,26800.0,88.1578947368421,2173.0930337501272,17150.0,46.22641509433962,2917.4676148932003,15900.0,67.65957446808511,1309.6460741384192,13900.0,37.77173913043478,3896.2454228477095
2021-01-03,13950.0,11400.0,11250.0,10450.0,10250.0,11150.0,35000.0,27950.0,26850.0,27850.0,29000.0,32900.0,69150.0,57200.0,54250.0,48550.0,39400.0,50700.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1800.0,18.75,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10800.0,62.973760932944614,194.21414933641992,7250.0,36.98979591836735,208.0479526870762,6000.0,26.08695652173913,539.0320542932077,8400.0,34.285714285714285,346.0714262963144,26800.0,88.1578947368421,2173.0930337501272,17150.0,46.22641509433962,2917.4676148932003,15900.0,67.65957446808511,1309.6460741384192,13900.0,37.77173913043478,3896.2454228477095
2021-01-04,13950.0,11400.0,11250.0,10450.0,10250.0,11150.0,35000.0,27950.0,26850.0,27850.0,29000.0,32900.0,69150.0,57200.0,54250.0,48550.0,39400.0,50700.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1800.0,18.75,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10800.0,62.973760932944614,194.21414933641992,7250.0,36.98979591836735,208.0479526870762,6000.0,26.08695652173913,539.0320542932077,8400.0,34.285714285714285,346.0714262963144,26800.0,88.1578947368421,2173.0930337501272,17150.0,46.22641509433962,2917.4676148932003,15900.0,67.65957446808511,1309.6460741384192,13900.0,37.77173913043478,3896.2454228477095
2021-01-05,13950.0,11400.0,11250.0,10450.0,10250.0,11150.0,35000.0,27750.0,27400.0,27900.0,28250.0,32650.0,69150.0,56300.0,54850.0,47600.0,39400.0,45300.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1800.0,18.75,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10600.0,61.80758017492711,194.21414933641992,7800.0,39.795918367346935,208.0479526870762,5250.0,22.82608695652174,539.0320542932077,8150.0,33.265306122448976,346.0714262963144,25900.0,85.19736842105263,2173.0930337501272,17750.0,47.84366576819407,2917.4676148932003,15900.0,67.65957446808511,1309.6460741384192,8500.0,23.097826086956523,3896.2454228477095
2021-01-06,13950.0,11450.0,11250.0,10450.0,10250.0,11150.0,33350.0,27600.0,27150.0,27850.0,28250.0,32750.0,70850.0,54850.0,54200.0,46400.0,39400.0,43450.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1850.0,19.270833333333336,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10450.0,60.932944606414,194.21414933641992,7550.0,38.52040816326531,208.0479526870762,5250.0,22.82608695652174,539.0320542932077,8250.0,33.6734693877551,346.0714262963144,24450.0,80.42763157894737,2173.0930337501272,17100.0,46.091644204851754,2917.4676148932003,15900.0,67.65957446808511,1309.6460741384192,6650.0,18.070652173913043,3896.2454228477095
2021-01-07,13950.0,11450.0,11250.0,10450.0,10250.0,11150.0,33350.0,27700.0,27150.0,27950.0,27950.0,32900.0,70850.0,53350.0,53150.0,47150.0,36900.0,42350.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1850.0,19.270833333333336,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10550.0,61.51603498542274,194.21414933641992,7550.0,38.52040816326531,208.0479526870762,4950.0,21.521739130434785,539.0320542932077,8400.0,34.285714285714285,346.0714262963144,22950.0,75.49342105263158,2173.0930337501272,16050.0,43.261455525606465,2917.4676148932003,13400.0,57.02127659574469,1309.6460741384192,5550.0,15.081521739130435,3896.2454228477095
2021-01-08,13950.0,11450.0,11250.0,10450.0,10250.0,11150.0,33350.0,27450.0,26950.0,27950.0,27950.0,32000.0,66650.0,52600.0,48950.0,46150.0,36250.0,42450.0,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1850.0,19.270833333333336,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10300.0,60.05830903790087,194.21414933641992,7350.0,37.5,208.0479526870762,4950.0,21.521739130434785,539.0320542932077,7500.0,30.612244897959183,346.0714262963144,22200.0,73.02631578947368,2173.0930337501272,11850.0,31.940700808625337,2917.4676148932003,12750.0,54.25531914893617,1309.6460741384192,5650.0,15.353260869565217,3896.2454228477095
2021-01-09,13950.0,11450.0,11250.0,10450.0,10250.0,11150.0,33616.666666666664,27533.333333333332,26833.333333333332,27750.0,27850.0,32166.666666666668,64716.666666666664,52500.0,48233.333333333336,44983.333333333336,36966.666666666664,42933.333333333336,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1850.0,19.270833333333336,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10383.333333333332,60.54421768707482,194.21414933641992,7233.333333333332,36.9047619047619,208.0479526870762,4850.0,21.086956521739133,539.0320542932077,7666.666666666668,31.29251700680273,346.0714262963144,22100.0,72.69736842105263,2173.0930337501272,11133.333333333336,30.008984725965863,2917.4676148932003,13466.666666666664,57.30496453900709,1309.6460741384192,6133.333333333336,16.666666666666675,3896.2454228477095
2021-01-10,13950.0,11450.0,11250.0,10450.0,10250.0,11150.0,33883.333333333336,27616.666666666668,26716.666666666668,27550.0,27750.0,32333.333333333332,62783.333333333336,52400.0,47516.666666666664,43816.666666666664,37683.333333333336,43416.666666666664,9600.0,9200.0,8500.0,9300.0,10350.0,17150.0,19600.0,15000.0,23000.0,24500.0,30400.0,37100.0,33350.0,23500.0,36800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1850.0,19.270833333333336,26.352313834736524,2050.0,22.282608695652172,0.0,950.0,10.21505376344086,0.0,800.0,7.729468599033816,0.0,10466.666666666668,61.03012633624879,194.21414933641992,7116.666666666668,36.30952380952381,208.0479526870762,4750.0,20.652173913043477,539.0320542932077,7833.333333333332,31.972789115646254,346.0714262963144,22000.0,72.36842105263158,2173.0930337501272,10416.666666666664,28.077268643306375,2917.4676148932003,14183.333333333336,60.35460992907803,1309.6460741384192,6616.666666666664,17.98007246376811,3896.2454228477095
